AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,ResponseId,study
39,Male,Higher,White,27,6,62,Other,R_2v8IlxOGGet1mDD,PSYC304.ml
34,Female,Secondary,White,28,8,57,Other,R_3nH5M1JlLgff47E,PSYC304.ml
22,Male,Further,White,33,7,55,Other,R_2TXyGwJNJy9PFrt,PSYC304.ml
32,Female,Higher,White,39,8,63,Other,R_2pKKlY8BpVGLyof,PSYC304.ml
43,Female,Higher,White,38,5,55,Other,R_2YKZwe3fRDvwbih,PSYC304.ml
46,Female,Higher,White,36,6,58,Other,R_2cuZaEUTpMDJKMM,PSYC304.ml
40,Female,Higher,White,29,8,48,Other,R_3EupDpNfwPVjoNH,PSYC304.ml
39,Female,Higher,White,37,7,57,Other,R_1IRyLFBoHKQQPQP,PSYC304.ml
39,Female,Further,White,35,9,63,Other,R_AMxiEoNhtIjNKo1,PSYC304.ml
19,Female,Further,White,39,12,54,Other,R_2f8pZmNR4ETYckD,PSYC304.ml
19,Male,Further,White,31,9,51,Other,R_3s548A2c8abzBOm,PSYC304.ml
38,Male,Further,White,32,9,51,English,R_1q9zs9n8h84OB4C,PSYC304.ml
24,Female,Further,White,38,9,50,English,R_DdBzR1Pfxr5sT7j,PSYC304.ml
22,Female,Further,White,28,10,46,English,R_1ikhJ1iGeph7aSC,PSYC304.rw
59,Female,Higher,White,32,11,52,English,R_0CxcOzj8sAmjHHj,PSYC304.rw
61,Male,Higher,White,36,10,55,English,R_2tJdIKDsdg0FD52,PSYC304.rw
22,Female,Higher,White,29,7,49,English,R_3jZGZG8edXAbdXq,PSYC304.rw
81,Female,Higher,White,31,8,51,Other,R_yrUp37seEzLr1rH,PSYC304.rw
21,Female,Further,White,27,9,41,English,R_PIHdV2WuxRjzylr,PSYC304.rw
21,Female,Higher,White,33,8,47,English,R_W1Bn1b8pPdMVGF3,PSYC304.rw
21,Female,Higher,White,26,8,49,English,R_3iO7F46wJd6d0iq,PSYC304.rw
20,Male,Further,White,37,9,49,English,R_31Nt5jTu499VlGn,PSYC304.rw
22,Female,Higher,White,31,6,46,English,R_1rPoXX7BRsHnO4m,PSYC304.rw
58,Female,Higher,White,35,7,39,English,R_2qmetno1Txk1PBc,PSYC304.rw
21,Female,Further,White,34,7,51,English,R_2v0n1NVkNgyuN57,PSYC304.rw
22,Female,Further,White,30,9,45,English,R_73NSdrUrBEpEGE9,PSYC304.rw
21,Female,Further,White,34,7,44,English,R_efBnYefldAB7FuN,PSYC304.rw
56,Female,Higher,White,37,11,51,English,R_2uP2qnRKc4klQ9F,PSYC304.rw
59,Female,Higher,White,38,12,54,English,R_1KdraRk4mU5IxL2,PSYC304.rw
67,Male,Higher,White,38,11,46,English,R_1n6nmNjc7qD4CW5,PSYC304.rw
55,Female,Further,White,39,10,53,English,R_2EuYqolAnYjAYSt,PSYC304.rw
62,Male,Further,White,40,10,47,English,R_3KPApJbR5IcyBD7,PSYC304.rw
30,Female,Higher,White,37,10,62,English,R_1ir4MOsbrqXdLN2,PSYC304.rw
64,Male,Further,White,36,11,43,English,R_2wcdLVcLiMclwpC,PSYC304.rw
63,Female,Higher,White,35,7,50,English,R_1F8kohbOvovDrzr,PSYC304.rw
19,Female,Further,White,36,11,49,English,R_1LMe1KFmbufItzs,PSYC304.rw
18,Male,Further,Asian,35,7,42,English,R_2TBNVSYE8GUUgOO,PSYC304.rw
18,Male,Further,White,29,11,49,English,R_1DnwG36fR52uF4y,PSYC304.rw
18,Female,Further,White,34,12,38,Other,R_1pMvBwDvCJcVf6L,PSYC304.rw
19,Female,Further,White,37,10,39,English,R_1IYEZXRg33sVCiR,PSYC304.rw
19,Female,Higher,Other,38,8,55,Other,R_2uX0c95bpDmWbJV,PSYC304.rw
20,Female,Further,Asian,39,10,30,English,R_2urfiMreD5vxq0y,PSYC304.rw
18,Female,Further,White,36,8,56,English,R_2scnovqaygE60as,PSYC304.rw
19,Female,Further,Asian,26,5,35,English,R_3HjI43ikctGB46S,PSYC304.rw
20,Female,Further,White,28,8,49,Other,R_25EFmo3uV7rIyAd,PSYC304.rw
19,Female,Further,White,29,7,40,English,R_3M54reFQOudPaCt,PSYC304.rw
18,Female,Further,Mixed,29,10,52,English,R_3PuB96gZvAsBBL2,PSYC304.rw
20,Female,Further,White,34,7,53,English,R_pKsAkrksnzU8UNj,PSYC304.rw
18,Female,Higher,Asian,23,5,27,English,R_2usuuWsR8keWsbl,PSYC304.rw
18,Female,Further,Asian,33,7,47,Other,R_3hznAFbEoxYakMo,PSYC304.rw
18,Female,Further,White,27,12,49,English,R_30762qcJLATIjBc,PSYC304.rw
39,Male,Higher,White,35,8,51,English,R_1gkJyjSOKETGoSY,PSYC304.rw
18,Female,Further,White,37,9,57,English,R_25uugPmBqiI5WYR,PSYC304.rw
22,Female,Further,White,19,4,38,English,R_2OOoiYb4BGwQmVZ,PSYC304.rw
67,Female,Further,White,31,8,53,English,R_1esewkPIfho8BrE,PSYC304.rw
58,Female,Secondary,White,33,7,50,English,R_3JyhQhYJ0xVDh1e,PSYC304.rw
58,Female,Secondary,White,38,8,17,English,R_1dA05AehUIhQdiu,PSYC304.rw
67,Male,Higher,White,40,9,62,English,R_Dl8j7G4rd2bntLz,PSYC304.rw
56,Female,Higher,White,36,11,53,English,R_3Odnagt50tnOnQV,PSYC304.rw
72,Female,Higher,White,38,11,60,English,R_YPOaKL24ENM66Qh,PSYC304.rw
57,Female,Further,White,30,8,49,English,R_2BbOE45OolkXFlV,PSYC304.rw
62,Male,Higher,White,38,11,50,English,R_2fJ6BUzmMe48CiI,PSYC304.rw
56,Female,Higher,White,40,11,57,Other,R_1pRKlNKeoTvsShh,PSYC304.rw
58,Female,Secondary,White,40,9,59,English,R_2wiQXQHx9xzz5ef,PSYC304.rw
36,Female,Higher,White,33,11,59,English,R_25YESxL3cNytolW,PSYC304.rw
34,Male,Higher,White,34,7,55,English,R_3O9BqxXwvajaQBO,PSYC304.rw
28,Male,Further,White,33,10,45,English,R_2S0HXXZmaVvKlC1,PSYC304.rw
62,Female,Higher,White,40,7,55,English,R_2zMbYnCmO2st6BO,PSYC304.rw
57,Female,Higher,White,39,10,46,English,R_3CUEfrpCTwvlPza,PSYC304.rw
73,Female,Higher,White,37,10,56,English,R_3in8EArVBjRASun,PSYC304.rw
47,Male,Higher,White,37,11,50,English,R_2hGhMCS9pKCVeDL,PSYC304.rw
64,Male,Higher,White,40,10,49,English,R_3PcSfJkZy1Na2Ig,PSYC304.rw
58,Female,Higher,White,34,12,52,English,R_sHlLJTuivBl0POp,PSYC304.rw
44,Female,Higher,White,38,11,56,English,R_sAQlMmEWB0euznz,PSYC304.rw
27,Male,Higher,White,38,8,54,English,R_3IQVhFywc6yZn6N,PSYC304.rw
24,Male,Higher,White,28,8,55,English,R_3qg0fhr1U6VNSyF,PSYC304.rw
51,Female,Secondary,White,34,6,41,English,R_cGwFclmpPE5XBK1,PSYC304.rw
25,Female,Secondary,White,27,5,43,English,R_3RkdfBrWB5XRIMK,PSYC304.rw
19,Female,Further,White,31,7,43,English,R_3qwjSLxCI9nPTeu,PSYC304.rw
25,Male,Secondary,White,27,10,40,English,R_1H5Yg86NM1xiJF8,PSYC304.rw
32,Female,Higher,White,19,7,50,English,R_2eakK4gtmqJ4PcI,PSYC304.rw
