ResponseId,mean.acc,mean.self,AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,study
R_32SbuBXjNOg1goH,0.9,5,51,Female,Further,White,40,5,55,English,PSYC304.jg
R_3kijxgi0UZM6ciE,0.95,8,20,Female,Further,White,32,8,47,English,PSYC304.jg
R_3DvZ21XBACVV7pX,1,8,21,Male,Further,White,34,13,51,English,PSYC304.jg
R_BtsL9imuAm45JTj,0.85,7.6,37,Female,Further,White,34,7,59,English,PSYC304.jg
R_8J8a1r8nU8zdTKF,0.95,5.2,51,Male,Further,White,39,10,48,English,PSYC304.jg
R_3Pbgt8btS8lmkto,1,7.2,21,Female,Further,White,39,11,49,English,PSYC304.jg
R_2bHSx4UibI9U2id,0.5,4,21,Female,Further,White,26,7,39,English,PSYC304.jg
R_sk7gkkRYBMiTiz7,0.9,6.6,19,Male,Secondary,White,28,11,52,English,PSYC304.jg
R_1dADXvrs5CBQuw1,1,6.8,27,Prefer-not-to-say,Higher,White,38,11,50,English,PSYC304.jg
R_PNcHAc8SqWPJiFP,0.95,8.2,20,Female,Further,White,33,8,57,English,PSYC304.jg
R_1oBZ7DEdDMOjVFx,0.7,5,21,Female,Higher,White,30,7,47,English,PSYC304.jg
R_28O1YLhY8oKU86V,0.95,8,20,Female,Further,Asian,39,8,61,Other,PSYC304.jg
R_01G3jLDBRT6PV3H,0.95,8,21,Male,Further,White,40,10,52,English,PSYC304.jg
R_2CUgTyfsECt4LwS,0.55,3.4,50,Male,Further,White,33,12,46,English,PSYC304.jg
R_1LZ26eAjKfsIRya,0.95,7.6,20,Female,Further,Other,35,10,56,Other,PSYC304.jg
R_3Gr1OkqaH55APQ7,0.85,7.4,51,Female,Secondary,White,33,8,59,English,PSYC304.jg
R_25zTeKk1gOqC393,0.8,8,55,Male,Secondary,White,37,7,46,English,PSYC304.jg
R_1gCTJgkDSe8eiLs,0.9,5.8,18,Female,Further,White,33,11,43,English,PSYC304.jg
R_1mV5v5HQv5NXGbp,0.85,7.6,51,Female,Higher,White,39,12,48,English,PSYC304.jg
R_BFxWh9lCQUTwzLj,0.75,6.4,21,Male,Further,White,35,7,44,English,PSYC304.jg
R_2EgXmaVJNSVaH80,0.45,8.2,31,Female,Further,White,26,5,45,English,PSYC304.jg
R_1jwtTaZRTTOp3sv,0.95,8,18,Female,Further,White,33,10,38,Other,PSYC304.jg
R_2wiO1YygKjVS8xh,0.95,8.6,18,Female,Further,White,31,10,46,English,PSYC304.jg
R_2S1sNfoiEd9Oz3S,0.5,5.4,18,Male,Secondary,White,28,6,46,English,PSYC304.jg
